id,name_en,name_pt,set,deck,class,type,danger,dual,noise,door,range,dice,accuracy,damage,effect_en,effect_pt,image
dervish_blade,Dervish Blade,Lâmina do Dervixe,White Death,vault,weapon,melee_weapon,blue,no,no,no,0,3,3+,2,,,https://static.wikia.nocookie.net/zombicid/images/f/ff/DervishBlade_WD.png
disintegrate,Disintegrate,Desintegrar,Wulfsburg,search,weapon,combat_spell,blue,yes,yes,no,0-1,3,5+,1,Roll 6: +1 Damage.,Resultado 6: +1 Dano,https://static.wikia.nocookie.net/zombicide/images/e/e4/Disintegrate_WB.png
disintegrate_(chi),Disintegrate (Chi),Desintegrar (Chi),Eternal Empire,search,weapon,combat_spell,blue,yes,yes,no,0-1,3/5,5+,1,Roll 6: +1 Damage.,Resultado 6: +1 Dano,
donatellos_bo_staff,Donatello's Bo Staff,Cajado Bô do Donatello,TMNT Timecrash,starter,weapon,melee_weapon,blue,no,no,no,1-1,1,3+,1,POLEARM. Take a Pizza token: Flip this card.,ARMA DE HASTE. Pegar uma ficha de Pizza: Vire esta carta.,
donatellos_ultimate_bo_staff,Donatello's Ultimate Bo Staff,Cajado Bô Ultimate do Donatello,TMNT Timecrash,ultimate,weapon,melee_weapon,blue,no,no,no,0-1,1,3+,2,POLEARM. Roll 6: +1 Chi.,ARMA DE HASTE. Resultado 6: +1 Chi.,
dragon_aura,Dragon Aura,Aura Dracônica,Special Guest John Howe,search,enchantment,,,,yes,,,,,,Once per Turn. The targeted Survivor gains Armor 4+ until the end of the Game Round.,Uma vez por Turno. O Sobrevivente alvo recebe Armadura 4+ até o fim da Rodada.,https://static.wikia.nocookie.net/zombicide/images/f/f2/DragonAura_SG.png
dragon_bile,Dragon Bile,Bile de Dragão,Black Plague; Green Horde; White Death; Eternal Empire,search,item,,,,,,,,,,Black Plague / Green Horde: Spend an Action and discard Dragon Bile from hand. Put a Dragon Bile token at Range 0-1. White Death / Eternal Empire: Spend an Action and discard with a Torch. Resolve a Dragon Fire at Range 1 and Within Line of Sight. May be used in the Backpack.,Black Plague / Green Horde: Gaste uma Ação e descarte Bile de Dragão de sua mão. Coloque uma ficha de Bile de Dragão no alcance 0-1. White Death: Gaste uma Ação e descarte com uma Tocha. Resolva um Fogo de Dragão no Alcance 1 e dentro da Linha de Visão. Pode ser usado na Mochila.,https://static.wikia.nocookie.net/zombicide/images/1/12/DragonBile_BP.png
dragon_fire_blade,Dragon Fire Blade,Espada de Fogo de Dragão,Wulfsburg,search,weapon,melee_weapon,orange,no,no,yes,0,2,3+,2,Discard this card: Create a Dragon Fire at Range 0-1.,Descarte esta carta: Crie um Fogo de Dragão no Alcance 0-1.,https://static.wikia.nocookie.net/zombicide/images/c/c7/DragonFireBlade_WB.png
dragon_lance_(chi),Dragon Lance (Chi),Venábulo Dracônico (Chi),Eternal Empire,search,weapon,melee_weapon,blue,no,no,no,1-1,2,4+/3+,2,POLEARM.,ARMA DE HASTE.,
dwarven_axe,Dwarven Axe,Machado dos Anões,Green Horde,vault,weapon,melee_weapon,yellow,no,no,no,0,6,5+,1,Roll 6: +1 Damage.,Resultado 6: +1 Dano,https://static.wikia.nocookie.net/zombicide/images/8/85/DwarvenAxe_GH.png
dwarven_hammer,Dwarven Hammer,Martelo dos Anões,Green Horde,search,weapon,melee_weapon,blue,no,no,yes,0,2,4+,2,,,https://static.wikia.nocookie.net/zombicide/images/b/b5/DwarvenHammer_GH.png
dwarven_shield,Dwarven Shield,Escudo dos Anões,NPC-1,vault,shield,,blue,,,,,,,,The wearer gets Armor rolls against Abomination Attacks. - No equipped Armor: Armor 4+ - Equipped Armor: You may re-roll once Armor rolls made with the equipped armor. The new roll takes the place of the previous one.,O usuário ganha rolagens de Armadura contra Ataques de Abominação. -Sem Armadura equipada: Armadura 4+. Armadura equipada: Você pode rerrolar uma vez rolagens de Armadura com a armadura equipada. O novo resultado é o que vale. ,https://static.wikia.nocookie.net/zombicide/images/5/54/DwarvenShield_NPC.png
earthquake,Earthquake,Terremoto,NPC-2,vault,weapon,combat_spell,blue,yes,yes,no,0-1,3,4+,1,Roll 1 success or more with this Combat spell: all Actors in the target Zone lose their next Activation (lay down their miniatures).,Role um sucesso ou mais com este Feitiço de Combate: todos os Atores na Zona alvo perdem sua próxima Ativação. (Deite suas miniaturas).,https://static.wikia.nocookie.net/zombicide/images/6/61/Earthquake_NPC.png
earthquake_hammer,Earthquake Hammer,Martelo do Terremoto,Wulfsburg,search,weapon,melee_weapon,orange,no,no,yes,0,3,3+,2,Roll 6: +1 die and +1 Damage.,Resultado 6: +1 Dado e Dano +1.,https://static.wikia.nocookie.net/zombicide/images/e/e8/EarthquakeHammer_WB.png
emperors_bow_(chi),Emperor's Bow (Chi),Arco do Imperador (Chi),Eternal Empire,vault,weapon,ranged_weapon,blue,no,no,no,1-2/1-3,2/4,3+,2,Marksman.,Atirador.,
falchion,Falchion,Bracamarte,Green Horde,search,weapon,melee_weapon,blue,no,no,no,0,3,4+,1,,,https://static.wikia.nocookie.net/zombicide/images/7/70/Falchion_GH.png
fire_bolt,Fire Bolt,Raio de Fogo,White Death,search,weapon,combat_spell,blue,yes,yes,no,0-2,1,4+,2,,,https://static.wikia.nocookie.net/zombicide/images/d/d6/FireBolt_WD.png
fire_bolt_(chi),Fire Bolt (Chi),Raio de Fogo (Chi),Eternal Empire,search,weapon,combat_spell,blue,yes,yes,no,0-2/0-3,1,4+,2,,,
fireball,Fireball,Bola de Fogo,Black Plague,search,weapon,combat_spell,blue,yes,yes,no,0-1,3,4+,1,,,https://static.wikia.nocookie.net/zombicide/images/9/94/Fireball_BP.png
flaming_great_sword,Flaming Great Sword,Espada Longa Flamejante,Wulfsburg,search,weapon,melee_weapon,yellow,no,no,yes,0,5,5+,2,1 Action: Ignite Dragon Bile at Range 0-1 (Dragon Fire).,Gaste 1 Ação: Acenda uma Bile de Dragão no Alcance 0-1 (Fogo de Dragão),https://static.wikia.nocookie.net/zombicide/images/7/70/FlamingGreatSword_WB.png
fury_of_aykay_the_47th,Fury Of Aykay the 47th,"Fúria de Aykay, o 47º",White Death,vault,weapon,combat_spell,blue,no,yes,no,0-3,1,5+,2,Mana rain.,Chuva de Mana.,https://static.wikia.nocookie.net/zombicide/images/d/dd/FuryOfAykayThe47th_WD.png
gavel_of_approval,Gavel of Approval,Martelo da Aprovação,Dice Tower 2024 Promos,vault,weapon,melee_weapon,blue,no,no,no,0,1,5+,2,"Roll 1 die for each Enemy in your Zone. You may also apply the hits to one adjacent Zone. Set 1/2. FULL SET: Damage +1, Armor 4+.","Role 1 dado para cada Inimigo em sua Zona. Você também pode distribuir os acertos em uma Zona adjacente. CONJUNTO 1/2. CONJUNTO COMPLETO: Dano +1, Armadura 4+.",https://static.wikia.nocookie.net/zombicide/images/7/78/GavelOfApproval_DT.png
ghost_sight,Ghost Sight,Visão de Fantasma,Green Horde,search,enchantment,,,,yes,,,,,,"Once per Turn. The targeted Survivor can trace Lines of Sight and attack through obstacles, like closed doors, walls, and hedges, during this Game Round.","Uma vez por Turno. O Sobrevivente alvo pode traçar Linha de Visão e atacar através de obstáculos como portas, paredes e sebes durante esta Rodada.",https://static.wikia.nocookie.net/zombicide/images/6/6f/GhostSight_GH.png
gog,Gog,Gog,Friends and Foes,search,familiar,,,,,,0,3,4+,1,"Gog has the following Skills: Low profile, Search, Slippery. If Gog is in the same Zone as its handler, that Survivor gains: +1 die: Melee","Gog tem as seguintes Habilidades: Esguio, Procura, Liso. Se Gog estiver na mesma Zona que seu treinador, o Sobrevivente ganha: +1 dado: Corpo a Corpo.",https://static.wikia.nocookie.net/zombicide/images/0/03/Gog.png
gold_dragon_(chi),Gold Dragon (Chi),Dragão Dourado (Chi),Eternal Empire,vault,weapon,melee_weapon,blue,no,no,no,1-1,3/5,4+,2,POLEARM. 3+ hits: Trigger a Dragon Fire in the targeted Zone.,"ARMA DE HASTE. 3 ou mais acertos: Crie um Fogo de Dragão na Zona alvo,",
grappling_lance,Grappling Lance,Lança com Arpéu,Horde Box,vault,weapon,melee_weapon,blue,no,no,no,0,2,4+,2,"Once per Round, may prevent 1 Zombie at Range 0-1 from Activating.","Uma vez por Turno, pode prevenir um Zumbi no Alcance 0-1 de Ativar.",https://static.wikia.nocookie.net/zombicide/images/d/d0/GrapplingLance_HB.png
great_axe,Great Axe,Grão Machado,Green Horde; White Death,search,weapon,melee_weapon,blue,no,no,yes,0,4,5+,2,,,https://static.wikia.nocookie.net/zombicide/images/a/ad/GreatAxe_GH.png
great_axe_(chi),Great Axe (Chi),Grão Machado (Chi),Eternal Empire,search,weapon,melee_weapon,blue,no,no,no,0,4/6,5+,2,,,
great_sword,Great Sword,Espada Longa,Black Plague; White Death,search,weapon,melee_weapon,blue,no,no,yes,0,5,5+,1,,,https://static.wikia.nocookie.net/zombicide/images/5/54/GreatSword_BP.png
guisarme,Guisarme,Bisarma,White Death,search,weapon,melee_weapon,blue,no,no,no,1-1,2,4+,2,POLEARM.,ARMA DE HASTE.,
hail_storm_(chi),Hail Storm (Chi),Tempestade de Granizo  (Chi),Eternal Empire,search,weapon,combat_spell,blue,yes,yes,no,0-2,3,5+,1,Chi: Freeze.,Chi: Congelar.,
halberd,Halberd,Alabarda,White Death,search,weapon,melee_weapon,blue,no,no,no,1-1,1,3+,2,POLEARM.,ARMA DE HASTE.,
halberd_(chi),Halberd (Chi),Alabarda (Chi),Eternal Empire,search,weapon,melee_weapon,blue,no,no,no,1-1,1/3,3+,2,POLEARM.,ARMA DE HASTE.,
hammer,Hammer,Martelo,Black Plague; Hero Box-1,search; starter,weapon,melee_weapon,blue,yes,no,yes,0,1,4+,2,,,https://static.wikia.nocookie.net/zombicide/images/3/3e/Hammer_BP.png
hand_crossbow,Hand Crossbow,Besta de Mão,Black Plague; Green Horde,search,weapon,ranged_weapon,blue,yes,no,no,0-3,2,3+,1,BOLTS. 1 Action to reload. Free in End Phase.,VIROTES. 1 Ação para recarregar. Grátis na Fase Final.,https://static.wikia.nocookie.net/zombicide/images/0/02/HandCrossbow_BP.png
healing,Healing,Cura,"Black Plague, Green Horde, White Death",search,enchantment,,blue,,yes,,,,,,Once per Turn. The targeted Survivor recovers 1 Wound (up to his starting total). Healing can't be used to resurrect a Survivor.,Uma vez por turno. O Sobrevivente alvo recupera 1 Ferimento (até o total inicial). Cura não pode ser utilizada para ressuscitar um Sobrevivente.,https://static.wikia.nocookie.net/zombicide/images/5/57/Healing_BP.png
healing_(chi),Healing (Chi),Cura (Chi),Eternal Empire,search,enchantment,,blue,,yes,,,,,,Once per Turn. The targeted Survivor recovers 1 Wound (up to his starting total). Healing can't be used to resurrect a Survivor. Chi: Can be cast a second time.,Uma vez por turno. O Sobrevivente alvo recupera 1 Ferimento (até o total inicial). Cura não pode ser utilizada para ressuscitar um Sobrevivente. Chi: Pode ser usada uma segunda vez.,
heavy_armor,Heavy Armor,Armadura Pesada,White Death,search,armor,,blue,,,,,,,,ARMOR 3+.,ARMADURA 3+,
heavy_armor_(chi),Heavy Armor (Chi),Armadura Pesada (Chi),Eternal Empire,search,armor,,blue,,,,,,,,ARMOR 3+. Chi: Armor Re-roll.,ARMADURA 3+. Chi: Rerrolar Armadura.,
heavy_crossbow,Heavy Crossbow,Besta Pesada,NPC-1,vault,weapon,ranged_weapon,blue,no,no,no,1-2,2,4+,3,BOLTS.,VIROTES. ,https://static.wikia.nocookie.net/zombicide/images/5/55/HeavyCrossbow_NPC.png
heavy_dagger,Heavy Dagger,Adaga Pesada,Friends and Foes,search,weapon,melee_weapon,blue,yes,no,no,0,1,4+,2,Another Equipped Melee weapon gains +1 die and Damage 2.,A outra arma Corpo a Corpo Equipada ganha +1 dado e Dano 2.,https://static.wikia.nocookie.net/zombicide/images/c/c9/HeavyDagger_FF.png
heavy_sword,Heavy Sword,Espada Pesada,Friends and Foes,search,weapon,melee_weapon,blue,no,no,no,0,2,3+,1,Gain +1 die if another Equipped card is a Heavy Dagger.,Ganha +1 dado se a outra arma Equipada for Adaga Pesada.,https://static.wikia.nocookie.net/zombicide/images/c/ca/HeavySword_FF.png
hell_goat,Hell Goat,Cabra do Inferno,Special Guest John Howe,search,enchantment,,blue,,yes,,,,,,Once per Turn. The targeted Survivor gains the Shove Skill until the end of the Game Round.,Uma vez por Turno. O Sobrevivente alvo ganha a Habilidade Empurrão até o final da Rodada.,https://static.wikia.nocookie.net/zombicide/images/9/92/HellGoat_SG.png
holy_orb_of_death,Holy Orb of Death,Orbe Sagrada da Morte,Horde Box,search,item,,blue,,,,,,,,"Spend an Action, discard the Orb from Hand, and select a Zone within Range 0-1 and Line of Sight: Resolve a Dragon Fire.","Gaste uma Ação, descarte a Orbe da Mão e selecione uma Zona no Alcance 0-1 dentro do Campo de Visão: Resolva um Fogo de Dragão.",https://static.wikia.nocookie.net/zombicide/images/6/69/HolyOrbOfDeath_HB.png
horn_bow,Horn Bow,Arco de Chifre,Friends and Foes,search,weapon,ranged_weapon,blue,no,no,no,1-2,1,3+,2,ARROWS. Choose the targets when performing Ranged Actions with this weapon.,FLECHAS. Escolha os alvos quando estiver realizando Ações de Longo Alcance com esta arma.,https://static.wikia.nocookie.net/zombicide/images/1/10/HornBow_FF.png
horn_bow_(chi),Horn Bow (Chi),Arco de Chifre (Chi),Eternal Empire,search,weapon,ranged_weapon,blue,no,no,no,1-2,1/3,3+,2,Marksman.,Atirador.,
ice_blast,Ice Blast,Explosão de Gelo,CMON Promo Cards 2016,search,weapon,combat_spell,blue,yes,yes,no,0-2,3,4+,1,Roll 6: Zombies in the Zone cannot move this turn.,Resultado 6: Zumbis na Zona não podem se mover neste turno.,https://static.wikia.nocookie.net/zombicide/images/9/9c/ManaBlast_BP.png
ice_bow,Ice Bow,Arco de Gelo,White Death,vault,weapon,ranged_weapon,blue,no,no,no,1-3,2,3+,1,Freeze: Ranged,Congelar: Longo Alcance.,
ice_storm,Ice Storm,Tempestade de Gelo,White Death,search,weapon,combat_spell,blue,no,no,no,0-2,3,5+,1,,,
inferno,Inferno,Inferno,Black Plague,vault,weapon,combat_spell,blue,yes,yes,no,0-1,4,4+,2,,,https://static.wikia.nocookie.net/zombicide/images/6/6c/Inferno_BP.png
invisibility,Invisibility,Invisibilidade,Black Plague,search,enchantment,,blue,,yes,,,,,,"Once per Turn. The targeted Survivor benefits of the Rotten Skill's effects until the end of Game Round. If he Attacks or makes Noise, the Enchantment is cancelled.",Uma vez por Turno: O Sobrevivente selecionado se beneficia da Habilidade Apodrecido até o fim da Rodada. Se ele Atacar ou fizer Barulho o Encantamento é cancelado.,https://static.wikia.nocookie.net/zombicide/images/b/b2/Invisibility_BP.png
ironclad:_zombie_wolfz,Ironclad: Zombie Wolfz,Encouraçado: Loboz Zumbis,Wulfsburg,search,enchantment,,blue,,yes,,,,,,Once per Turn. The targeted Survivor gains the Ironclad: Zombie Wolfz Skill until the end of Game Round.,Uma vez por Turno: O Sobrevivente alvo ganha a Habilidade: Encouraçado: Loboz Zumbis até o fim da Rodada.,https://static.wikia.nocookie.net/zombicide/images/0/07/IroncladZombieWolfz_WB.png
jennikas_tekko_kagi,Jennika's Tekko-Kagi,Tekko-Kagi da Jennika,Jennika Box,starter,weapon,melee_weapon,blue,no,no,no,0,1,3+,1,+1 die to another equipped Melee weapon. Take a Pizza token: Flip this card.,+1 dado para outra arma Corpo a Corpo equipada. Pegar uma fica de Pizza: Vire esta carta.,
jennikas_ultimate_tekko_kagi,Jennika's Ultimate Tekko-Kagi,Tekko-Kagi Ultimate da Jennika,Jennika Box,ultimate,weapon,melee_weapon,blue,no,no,no,0,3,3+,1,+1 die to another equipped Melee weapon. Roll 6: +1 Chi.,+1 dado para outra arma Corpo a Corpo equipada. Resultado 6: +1 Chi.,
jump,Jump,Pulo,White Death,search,enchantment,,blue,,yes,,,,,,Once per Turn. The targeted Survivor may immediately perform 1 free Action to use the Jump Skill.,Uma vez por Turno: O Sobrevivente alvo pode realizar 1 Ação grátis para utilizar a Habilidade Pulo imediatamente.,https://static.wikia.nocookie.net/zombicide/images/5/5b/Jump_WD.png
jump_(chi),Jump (Chi),Pulo (Chi),Eternal Empire,search,enchantment,,blue,,yes,,,,,,Once per Turn. The targeted Survivor may immediately perform 1 free Action to use the Jump Skill. Chi: Can be cast a second time.,Uma vez por Turno: O Sobrevivente alvo pode realizar 1 Ação grátis para utilizar a Habilidade Pulo imediatamente. Chi: Pode ser utilizado uma segunda vez,
katana,Katana,Katana,"White Death, Virtues of Bushido",search; starter,weapon,melee_weapon,blue,no,no,no,0,2,4+,1,Roll 6: +1 Damage,Resultado 6: Dano +1.,
katana_(chi),Katana (Chi),Katana  (Chi),"Eternal Empire, Virtues of Bushido",starter,weapon,melee_weapon,blue,no,no,no,0,2/4,4+,1,Roll 6: +1 Damage.,Resultado 6: Dano +1.,
